year,agriculture,buildings,fuel,industrial,power,processes,transport,waste,total,previousYear,annualGrowth,annualGrowthRate
2009,124871550.0,3260640150,2182321540,5538069760,11726528280,2326781720,6723497730,14949760.0,31897660490,2008.0,-409629820.0,-0.01267917600236527
2010,123736260.0,3330050730,2271446530,6080686280,12512592720,2503244130,7010901770,15729200.0,33848387620,2009.0,1950727130.0,0.061155805787435666
2011,130654270.0,3262809910,2294522520,6311091640,13112550460,2655190560,7128425510,16055450.0,34911300320,2010.0,1062912700.0,0.031402166387741216
2012,133739709.99999999,3229022970,2346868330,6332015740,13393914000,2741288850,7187514210,15629860.0,35379993670,2011.0,468693350.0,0.013425261898122275
2013,137920710.0,3348541480,2380040380,6358823580,13626198780,2823739310,7373902590,17582260.0,36066749090,2012.0,686755420.0,0.01941084066903961
2014,135111780.0,3290896450,2353519530,6425252000,13686203500,2886012070,7497303800,16002460.0,36290301590,2013.0,223552500.0,0.006198299143683648
2015,138413770.0,3316769670,2423164830,6286635590,13387051670,2857742280,7732101870,16964260.0,36158843940,2014.0,-131457650.0,-0.003622390673000742
2016,137553730.0,3350949540,2337226060,6130934190,13441578780,2961481740,7879176330,17139000.0,36256039370,2015.0,97195430.0,0.0026880126522098096
2017,135685400.0,3417541430,2395358940,6067820580,13754018480,3024544010,8078337020,16988840.0,36890294700,2016.0,634255330.0,0.01749378423625647
2018,135820970.0,3438824550,2450310130,6206749120,14203600520,3107404930,8271762780,17394370.0,37831867370,2017.0,941572670.0,0.025523587644313398
2019,141110970.0,3354125560,2568598200,6210739740,14084000690,3179210690,8269917090,17203050.0,37824905990,2018.0,-6961380.0,-0.0001840083634232724
2020,147753030.0,3276605540,2417096660,6180972980,13584103760,3219705290,7101115860,17117070.0,35944470190,2019.0,-1880435800.0,-0.04971422270017385
2021,150030460.0,3439731940,2512622460,6497622730,14533292800,3321229500,7610481610,17152270.0,38082163770,2020.0,2137693580.0,0.059472112642092054
2022,150578790.0,3421570590,2531898470,6537543100,14669268620,3226348490,7967586310,17203490.0,38521997860,2021.0,439834090.0,0.011549608700188623
